date,nav_long,pos_long,nav_both,pos_both
2026-01-05,1.0,0,1.0,0
2026-01-06,1.0,0,1.0,0
2026-01-07,1.0,0,1.0,0
2026-01-08,1.0,0,1.0,0
2026-01-09,1.0,0,1.0,0
2026-01-12,1.0,0,1.0,0
2026-01-13,1.0,0,1.0,0
2026-01-14,1.0,0,1.0,0
2026-01-15,1.0,0,1.0,0
2026-01-16,1.0,0,1.0,0
2026-01-19,1.0,0,1.0,0
2026-01-20,1.0,0,1.0,0
2026-01-21,1.0,0,1.0,0
2026-01-22,1.0,0,1.0,0
2026-01-23,1.0,0,1.0,0
2026-01-26,1.0,0,1.0,0
2026-01-27,1.0,0,1.0,0
2026-01-28,1.0,0,1.0,0
2026-01-29,1.0,0,1.0,0
2026-01-30,1.0,0,1.0,0
2026-02-02,1.0,0,1.0,0
2026-02-03,1.0,0,1.0,0
2026-02-04,1.0,0,1.0,0
2026-02-05,1.0,0,1.0,0
2026-02-06,1.0,0,1.0,0
2026-02-09,1.0,0,1.0,0
2026-02-10,1.0,0,1.0,0
2026-02-11,1.0,0,1.0,0
2026-02-12,1.0,0,1.0,0
2026-02-13,1.0,1,1.0,1
2026-02-24,1.011571,1,1.011571,1
2026-02-25,1.026996,1,1.026996,1
2026-02-26,1.034832,1,1.034832,1
2026-02-27,1.04339,1,1.04339,1
2026-03-02,1.033168,1,1.033168,1
2026-03-03,0.992397,1,0.992397,1
2026-03-04,0.986555,1,0.986555,1
2026-03-05,0.995891,0,0.995891,0
2026-03-06,0.995891,0,0.995891,0
2026-03-09,0.995891,0,0.995891,0
2026-03-10,0.995891,0,0.995891,0
2026-03-11,0.995891,0,0.995891,0
2026-03-12,0.995891,0,0.995891,0
2026-03-13,0.995891,0,0.995891,0
2026-03-16,0.995891,0,0.995891,0
2026-03-17,0.995891,0,0.995891,0
2026-03-18,0.995891,0,0.995891,0
2026-03-19,0.995891,0,0.995891,0
2026-03-20,0.995891,0,0.995891,0
2026-03-23,0.995891,0,0.995891,0
2026-03-24,0.995891,0,0.995891,0
2026-03-25,0.995891,1,0.995891,1
2026-03-26,0.981527,1,0.981527,1
2026-03-27,0.995266,1,0.995266,1
2026-03-30,0.998044,1,0.998044,1
2026-03-31,0.979018,1,0.979018,1
2026-04-01,0.997558,1,0.997558,1
2026-04-02,0.979477,1,0.979477,1
2026-04-03,0.968322,1,0.968322,1
2026-04-07,0.977241,1,0.977241,1
2026-04-08,1.022178,1,1.022178,1
2026-04-09,1.017768,1,1.017768,1
2026-04-10,1.027633,1,1.027633,1
2026-04-13,1.031146,1,1.031146,1
2026-04-14,1.04646,1,1.04646,1
2026-04-15,1.0415,0,1.0415,0
2026-04-16,1.0415,0,1.0415,0
2026-04-17,1.0415,0,1.0415,0
2026-04-20,1.0415,0,1.0415,0
2026-04-21,1.0415,0,1.0415,0
2026-04-22,1.0415,0,1.0415,0
2026-04-23,1.0415,0,1.0415,0
2026-04-24,1.0415,0,1.0415,0
2026-04-27,1.0415,0,1.0415,0
2026-04-28,1.0415,0,1.0415,0
2026-04-29,1.0415,0,1.0415,0
2026-04-30,1.0415,0,1.0415,0
2026-05-06,1.0415,1,1.0415,1
2026-05-07,1.058499,1,1.058499,1
2026-05-08,1.061735,1,1.061735,1
2026-05-11,1.076994,0,1.076994,0
2026-05-12,1.076994,0,1.076994,0
2026-05-13,1.076994,0,1.076994,0
2026-05-14,1.076994,0,1.076994,-1
2026-05-15,1.076994,0,1.088779,-1
2026-05-18,1.076994,0,1.084069,-1
2026-05-19,1.076994,0,1.073076,-1
2026-05-20,1.076994,0,1.073043,-1
2026-05-21,1.076994,0,1.109393,-1
2026-05-22,1.076994,0,1.085647,-1
2026-05-25,1.076994,0,1.072328,-1
2026-05-26,1.076994,0,1.085984,-1
2026-05-27,1.076994,0,1.103578,-1
2026-05-28,1.076994,0,1.091798,-1
2026-05-29,1.076994,0,1.120743,-1
2026-06-01,1.076994,0,1.129221,-1
2026-06-02,1.076994,0,1.123856,-1
2026-06-03,1.076994,0,1.117436,-1
2026-06-04,1.076994,0,1.119104,-1
2026-06-05,1.076994,0,1.129621,-1
2026-06-08,1.076994,0,1.164792,-1
2026-06-09,1.076994,0,1.130569,0
2026-06-10,1.076994,0,1.130569,0
2026-06-11,1.076994,0,1.130569,0
2026-06-12,1.076994,0,1.130569,0
2026-06-15,1.076994,0,1.130569,0
2026-06-16,1.076994,1,1.130569,1
2026-06-17,1.084228,1,1.138162,1
2026-06-18,1.092517,1,1.146864,1
2026-06-22,1.104308,1,1.159241,1
2026-06-23,1.081185,0,1.134968,0
2026-06-24,1.081185,0,1.134968,0
2026-06-25,1.081185,0,1.134968,0
2026-06-26,1.081185,0,1.134968,0
2026-06-29,1.081185,0,1.134968,0
2026-06-30,1.081185,0,1.134968,0
2026-07-01,1.081185,0,1.134968,0
2026-07-02,1.081185,0,1.134968,0
2026-07-03,1.081185,0,1.134968,0
2026-07-06,1.081185,0,1.134968,0
2026-07-07,1.081185,0,1.134968,0
2026-07-08,1.081185,0,1.134968,-1
2026-07-09,1.081185,0,1.109491,-1
2026-07-10,1.081185,0,1.123095,-1
2026-07-13,1.081185,0,1.179324,-1
2026-07-14,1.081185,0,1.158537,-1
2026-07-15,1.081185,0,1.174222,-1
2026-07-16,1.081185,0,1.202169,-1
2026-07-17,1.081185,0,1.275221,-1
2026-07-20,1.081185,0,1.311268,0
2026-07-21,1.081185,0,1.311268,0
2026-07-22,1.081185,0,1.311268,0
2026-07-23,1.081185,0,1.311268,0
2026-07-24,1.081185,0,1.311268,0
2026-07-27,1.081185,0,1.311268,0
2026-07-28,1.081185,0,1.311268,0
2026-07-29,1.081185,1,1.311268,1
2026-07-30,1.051542,1,1.275317,1
2026-07-31,1.078186,1,1.307631,1
2026-08-03,1.078836,1,1.30842,1
2026-08-04,1.109223,1,1.345274,1
2026-08-05,1.141812,1,1.384797,1
2026-08-06,1.147508,1,1.391705,1
2026-08-07,1.170228,1,1.419261,1
2026-08-10,1.178513,1,1.429309,1
2026-08-11,1.17305,0,1.422683,0
2026-08-12,1.17305,0,1.422683,0
2026-08-13,1.17305,0,1.422683,0
2026-08-14,1.17305,0,1.422683,0
