pool,size,note,to_long,tx_long,q_open,q_exit,mode,mode_word,total_return,annualized,buyhold_return,excess,sharpe,bh_sharpe,mdd,n_roundtrips,n_long_rt,n_short_rt,win_rate,in_market_legs,in_market_frac,avg_hold_legs,n_days,e_mean,e_gt10_frac,h1_excess,h2_excess
S0,30,现役 30（护栏：必须复现 canonical combo_hyst.csv Q10 四行）,2/3,1/2,10,10,long_only,仅做多,0.17305,0.309886,0.002056,0.170994,2.0546,0.1573,0.071947,5,5,0,0.8,38,0.2568,7.6,149,18.62,0.9732,-0.019477,0.181843
X29,29,S0 ∖ 刘海娃娃（达标线外保留者一：波段胜率 48.1%<50%）,2/3,1/2,10,10,long_only,仅做多,0.185644,0.333758,0.002056,0.183588,2.1347,0.1573,0.056224,6,6,0,0.6667,41,0.277,6.83,149,18.09,0.9732,0.00112,0.171858
X28,28,"S0 ∖ {刘海娃娃, 顺应周期}（= 三条件全严格达标 28 人）",2/3,1/2,10,10,long_only,仅做多,0.191166,0.34428,0.002056,0.18911,2.1941,0.1573,0.056224,7,7,0,0.5714,40,0.2703,5.71,149,17.1,0.9732,0.00112,0.177057
SWAP30,30,"X28 ∪ {财牛,拉着幸福手}：恒 30，榜外 top2 先验换未达标尾 2",2/3,1/2,10,10,long_only,仅做多,0.149364,0.265466,0.002056,0.147308,1.8159,0.1573,0.071947,5,5,0,0.6,34,0.2297,6.8,149,18.77,0.9732,-0.019477,0.159101
TK12,12,ORDER[:12]（候选宇宙质量先验降序前 12）,2/3,1/2,10,10,long_only,仅做多,0.115491,0.203035,0.002056,0.113435,1.5995,0.1573,0.049478,1,1,0,1.0,19,0.1284,19.0,149,5.59,0.0336,-0.060977,0.171026
TK15,15,ORDER[:15],2/3,1/2,10,10,long_only,仅做多,0.069858,0.120982,0.002056,0.067803,1.4831,0.1573,0.040961,2,2,0,0.5,10,0.0676,5.0,149,7.19,0.1275,-0.060977,0.125393
TK18,18,ORDER[:18],2/3,1/2,10,10,long_only,仅做多,0.073482,0.127412,0.002056,0.071426,0.877,0.1573,0.122113,2,2,0,0.5,37,0.25,18.5,149,9.46,0.2685,-0.060977,0.129017
TK21,21,ORDER[:21],2/3,1/2,10,10,long_only,仅做多,0.128066,0.226061,0.002056,0.12601,1.543,0.1573,0.048092,4,4,0,0.5,28,0.1892,7.0,149,11.21,0.5839,-0.019513,0.138689
TK24,24,ORDER[:24],2/3,1/2,10,10,long_only,仅做多,0.146838,0.260765,0.002056,0.144782,2.2487,0.1573,0.032026,3,3,0,0.6667,19,0.1284,6.33,149,13.45,0.8725,-0.016927,0.153986
S0,30,现役 30（护栏：必须复现 canonical combo_hyst.csv Q10 四行）,2/3,1/2,10,10,long_and_short,多空双向,0.422683,0.815299,0.002056,0.420628,3.0509,0.1573,0.071947,7,5,2,0.8571,64,0.4324,9.14,149,18.62,0.9732,-0.019477,0.42153
X29,29,S0 ∖ 刘海娃娃（达标线外保留者一：波段胜率 48.1%<50%）,2/3,1/2,10,10,long_and_short,多空双向,0.437958,0.848384,0.002056,0.435902,3.1072,0.1573,0.054471,8,6,2,0.75,67,0.4527,8.38,149,18.09,0.9732,0.00112,0.40942
X28,28,"S0 ∖ {刘海娃娃, 顺应周期}（= 三条件全严格达标 28 人）",2/3,1/2,10,10,long_and_short,多空双向,0.421345,0.812412,0.002056,0.419289,3.1858,0.1573,0.054471,9,7,2,0.6667,64,0.4324,7.11,149,17.1,0.9732,0.00112,0.393778
SWAP30,30,"X28 ∪ {财牛,拉着幸福手}：恒 30，榜外 top2 先验换未达标尾 2",2/3,1/2,10,10,long_and_short,多空双向,0.275675,0.509508,0.002056,0.273619,2.4067,0.1573,0.076221,8,5,3,0.625,48,0.3243,6.0,149,18.77,0.9732,-0.019477,0.280379
TK12,12,ORDER[:12]（候选宇宙质量先验降序前 12）,2/3,1/2,10,10,long_and_short,多空双向,0.115491,0.203035,0.002056,0.113435,1.5995,0.1573,0.049478,1,1,0,1.0,19,0.1284,19.0,149,5.59,0.0336,-0.060977,0.171026
TK15,15,ORDER[:15],2/3,1/2,10,10,long_and_short,多空双向,0.065229,0.112791,0.002056,0.063173,1.3104,0.1573,0.045111,3,2,1,0.3333,12,0.0811,4.0,149,7.19,0.1275,-0.060977,0.120764
TK18,18,ORDER[:18],2/3,1/2,10,10,long_and_short,多空双向,0.068837,0.119174,0.002056,0.066782,0.8155,0.1573,0.125911,3,2,1,0.3333,39,0.2635,13.0,149,9.46,0.2685,-0.060977,0.124372
TK21,21,ORDER[:21],2/3,1/2,10,10,long_and_short,多空双向,0.242467,0.443649,0.002056,0.240411,2.101,0.1573,0.058177,7,4,3,0.5714,43,0.2905,6.14,149,11.21,0.5839,-0.030548,0.261311
TK24,24,ORDER[:24],2/3,1/2,10,10,long_and_short,多空双向,0.34312,0.646939,0.002056,0.341064,2.9544,0.1573,0.04649,6,3,3,0.6667,46,0.3108,7.67,149,13.45,0.8725,-0.002899,0.324931
