block,label,w,to_long,tx_long,q_open,q_exit,mode,mode_word,total_return,annualized,buyhold_return,excess,sharpe,bh_sharpe,mdd,n_roundtrips,n_long_rt,n_short_rt,win_rate,in_market_legs,in_market_frac,avg_hold_legs,n_days
基线 S0,S0,5,2/3,1/2,10,10,long_only,仅做多,0.17305,0.309886,0.002056,0.170994,2.0546,0.1573,0.071947,5,5,0,0.8,38,0.2568,7.6,149
基线 S0,S0,5,2/3,1/2,10,10,long_and_short,多空双向,0.422683,0.815299,0.002056,0.420628,3.0509,0.1573,0.071947,7,5,2,0.8571,64,0.4324,9.14,149
w 窗口轴,w=3,3,2/3,1/2,10,10,long_only,仅做多,0.179808,0.322674,0.002056,0.177752,1.8252,0.1573,0.091426,6,6,0,0.6667,45,0.3041,7.5,149
w 窗口轴,w=3,3,2/3,1/2,10,10,long_and_short,多空双向,0.457651,0.891399,0.002056,0.455595,2.856,0.1573,0.091426,10,6,4,0.6,80,0.5405,8.0,149
w 窗口轴,w=7,7,2/3,1/2,10,10,long_only,仅做多,0.158254,0.282065,0.002056,0.156198,1.8996,0.1573,0.071947,5,5,0,0.6,36,0.2432,7.2,149
w 窗口轴,w=7,7,2/3,1/2,10,10,long_and_short,多空双向,0.404739,0.776744,0.002056,0.402683,2.9447,0.1573,0.071947,7,5,2,0.7143,62,0.4189,8.86,149
w 窗口轴,w=10,10,2/3,1/2,10,10,long_only,仅做多,0.179398,0.321896,0.002056,0.177342,2.1561,0.1573,0.071947,4,4,0,0.75,37,0.25,9.25,149
w 窗口轴,w=10,10,2/3,1/2,10,10,long_and_short,多空双向,0.430382,0.831944,0.002056,0.428327,3.1192,0.1573,0.071947,6,4,2,0.8333,63,0.4257,10.5,149
Q 对称法定人数,"Q=(0,0)",5,2/3,1/2,0,0,long_only,仅做多,0.216322,0.392646,0.002056,0.214266,2.3595,0.1573,0.071947,6,6,0,0.8333,45,0.3041,7.5,149
Q 对称法定人数,"Q=(0,0)",5,2/3,1/2,0,0,long_and_short,多空双向,0.475164,0.929992,0.002056,0.473108,3.2679,0.1573,0.071947,8,6,2,0.875,71,0.4797,8.88,149
Q 对称法定人数,"Q=(8,8)",5,2/3,1/2,8,8,long_only,仅做多,0.216322,0.392646,0.002056,0.214266,2.3595,0.1573,0.071947,6,6,0,0.8333,45,0.3041,7.5,149
Q 对称法定人数,"Q=(8,8)",5,2/3,1/2,8,8,long_and_short,多空双向,0.475164,0.929992,0.002056,0.473108,3.2679,0.1573,0.071947,8,6,2,0.875,71,0.4797,8.88,149
Q 对称法定人数,"Q=(12,12)",5,2/3,1/2,12,12,long_only,仅做多,0.17305,0.309886,0.002056,0.170994,2.0546,0.1573,0.071947,5,5,0,0.8,38,0.2568,7.6,149
Q 对称法定人数,"Q=(12,12)",5,2/3,1/2,12,12,long_and_short,多空双向,0.422683,0.815299,0.002056,0.420628,3.0509,0.1573,0.071947,7,5,2,0.8571,64,0.4324,9.14,149
Q 对称法定人数,"Q=(14,14)",5,2/3,1/2,14,14,long_only,仅做多,0.144036,0.255561,0.002056,0.141981,1.7552,0.1573,0.071947,5,5,0,0.6,35,0.2365,7.0,149
Q 对称法定人数,"Q=(14,14)",5,2/3,1/2,14,14,long_and_short,多空双向,0.387495,0.740014,0.002056,0.38544,2.8465,0.1573,0.071947,7,5,2,0.7143,61,0.4122,8.71,149
Q 不对称双门,"Q=(8,10)",5,2/3,1/2,8,10,long_only,仅做多,0.216322,0.392646,0.002056,0.214266,2.3595,0.1573,0.071947,6,6,0,0.8333,45,0.3041,7.5,149
Q 不对称双门,"Q=(8,10)",5,2/3,1/2,8,10,long_and_short,多空双向,0.475164,0.929992,0.002056,0.473108,3.2679,0.1573,0.071947,8,6,2,0.875,71,0.4797,8.88,149
Q 不对称双门,"Q=(10,8)",5,2/3,1/2,10,8,long_only,仅做多,0.17305,0.309886,0.002056,0.170994,2.0546,0.1573,0.071947,5,5,0,0.8,38,0.2568,7.6,149
Q 不对称双门,"Q=(10,8)",5,2/3,1/2,10,8,long_and_short,多空双向,0.422683,0.815299,0.002056,0.420628,3.0509,0.1573,0.071947,7,5,2,0.8571,64,0.4324,9.14,149
Q 不对称双门,"Q=(10,12)",5,2/3,1/2,10,12,long_only,仅做多,0.17305,0.309886,0.002056,0.170994,2.0546,0.1573,0.071947,5,5,0,0.8,38,0.2568,7.6,149
Q 不对称双门,"Q=(10,12)",5,2/3,1/2,10,12,long_and_short,多空双向,0.422683,0.815299,0.002056,0.420628,3.0509,0.1573,0.071947,7,5,2,0.8571,64,0.4324,9.14,149
Q 不对称双门,"Q=(12,10)",5,2/3,1/2,12,10,long_only,仅做多,0.17305,0.309886,0.002056,0.170994,2.0546,0.1573,0.071947,5,5,0,0.8,38,0.2568,7.6,149
