rank,name,type,n,acc,avg,vol,sharpe,bull_n,bull_avg,bear_n,bear_avg,qual
1,综合（swing板 2/3 共识）,综合,28,0.8929,1.5739,1.3756,1.1441,20,1.6525,8,1.3775,达标
2,股往金来oo,博主,16,0.8125,0.9619,1.3482,0.7135,7,1.3729,9,0.6422,达标
3,子房论市,博主,10,0.7,0.861,1.5242,0.5649,7,0.5814,3,1.5133,达标
4,选对时机买对股,博主,11,0.7273,0.8327,1.8009,0.4624,8,1.545,3,-1.0667,达标
5,香满衣,博主,20,0.65,0.7825,3.0379,0.2576,7,-0.7229,13,1.5931,达标
6,故乡的云ZYH,博主,73,0.6849,0.7304,1.6352,0.4467,48,0.805,25,0.5872,达标
7,智由智哉,博主,30,0.6,0.6373,2.247,0.2836,25,0.1536,5,3.056,达标
8,家有高中生2,博主,12,0.6667,0.6342,2.0465,0.3099,6,0.715,6,0.5533,达标
9,知行合一,博主,32,0.625,0.6325,2.3965,0.2639,8,0.0425,24,0.8292,达标
10,股评老陈,博主,42,0.6667,0.541,1.6807,0.3219,25,0.8996,17,0.0135,达标
11,刘海娃娃,博主,48,0.4583,0.4958,2.6223,0.1891,12,0.5783,36,0.4683,达标
12,云帆观市,博主,169,0.5799,0.4607,1.7133,0.2689,100,0.4071,69,0.5383,达标
13,赵红力,博主,33,0.5758,0.4561,2.0365,0.2239,30,0.5173,3,-0.1567,达标
14,趋势巡航,博主,132,0.6136,0.431,1.965,0.2193,70,0.0694,62,0.8392,达标
15,时间轨迹,博主,37,0.5405,0.3941,2.7285,0.1444,21,0.0024,16,0.9081,达标
16,孙万林,博主,80,0.5875,0.3932,1.6459,0.2389,30,0.8143,50,0.1406,达标
17,大盘蜂向标,博主,111,0.6036,0.3768,1.9345,0.1948,49,-0.0151,62,0.6866,达标
18,一只小小牛,博主,25,0.68,0.3752,1.9477,0.1926,2,-2.12,23,0.5922,达标
19,禅壹,博主,19,0.6842,0.3574,1.7106,0.2089,3,-0.6067,16,0.5381,达标
20,谭阿坤,博主,24,0.5217,0.3513,1.6888,0.208,8,0.2675,16,0.3931,达标
21,四十二流光,博主,127,0.6063,0.3165,1.8833,0.168,67,-0.1872,60,0.8788,达标
22,我觉醒了,博主,118,0.5254,0.2987,1.8941,0.1577,0,0.0,118,0.2987,达标
23,爱生活的荷叶Rp,博主,63,0.619,0.2919,1.8642,0.1566,42,0.8333,21,-0.791,达标
24,山顶望星空的诗人,博主,53,0.5849,0.2692,1.9171,0.1404,23,0.1504,30,0.3603,达标
25,江河之水终有入海之日,博主,83,0.5663,0.2682,1.7991,0.1491,49,0.2169,34,0.3421,达标
26,中国技术玩家,博主,21,0.5714,0.2619,1.6161,0.1621,7,0.2257,14,0.28,达标
27,衡山佛曰论股,博主,182,0.522,0.2537,2.037,0.1245,83,0.2631,99,0.2458,达标
28,白猫财眼,博主,86,0.5647,0.2445,2.2146,0.1104,64,0.2464,22,0.2391,达标
29,诸葛不亮,博主,145,0.5724,0.2386,1.7799,0.1341,111,0.2955,34,0.0529,达标
30,时空鹰眼,博主,76,0.5395,0.1791,1.9003,0.0942,47,0.0047,29,0.4617,达标
,顺应周期,博主,176,0.4773,0.0745,1.8637,0.04,99,0.2497,77,-0.1506,平均分 +0.07 ≤ 0.1
