date,content,direction,strength,period,idx,ref,ep,ep_close,ret,score,note
2026-01-08,看多7/看空3·表态10人（方向占比70%）,1,中,+5交易日,上证指数,4082.98,2026-01-15,4112.6,0.007255,0.73,
2026-02-13,看多11/看空5·表态16人（方向占比69%）,1,中,+5交易日,上证指数,4082.07,2026-03-02,4182.59,0.024625,2.46,
2026-03-25,看多14/看空6·表态20人（方向占比70%）,1,中,+5交易日,上证指数,3931.84,2026-04-01,3948.55,0.00425,0.42,
2026-04-03,看多12/看空5·表态17人（方向占比71%）,1,中,+5交易日,上证指数,3880.1,2026-04-13,3988.56,0.027953,2.8,
2026-04-07,看多13/看空6·表态19人（方向占比68%）,1,中,+5交易日,上证指数,3890.16,2026-04-14,4026.63,0.035081,3.51,
2026-04-08,看多15/看空4·表态19人（方向占比79%）,1,中,+5交易日,上证指数,3995.0,2026-04-15,4027.21,0.008063,0.81,
2026-04-09,看多14/看空5·表态19人（方向占比74%）,1,中,+5交易日,上证指数,3966.17,2026-04-16,4055.55,0.022536,2.25,
2026-04-10,看多13/看空5·表态18人（方向占比72%）,1,中,+5交易日,上证指数,3986.22,2026-04-17,4051.43,0.016359,1.64,
2026-04-13,看多11/看空5·表态16人（方向占比69%）,1,中,+5交易日,上证指数,3988.56,2026-04-20,4082.13,0.02346,2.35,
2026-05-06,看多11/看空4·表态15人（方向占比73%）,1,中,+5交易日,上证指数,4160.17,2026-05-13,4242.57,0.019807,1.98,
2026-05-14,看多5/看空12·表态17人（方向占比71%）,-1,中,+5交易日,上证指数,4177.92,2026-05-21,4077.28,-0.024089,2.41,
2026-05-15,看多5/看空11·表态16人（方向占比69%）,-1,中,+5交易日,上证指数,4135.39,2026-05-22,4112.9,-0.005438,0.54,
2026-05-18,看多7/看空15·表态22人（方向占比68%）,-1,中,+5交易日,上证指数,4131.53,2026-05-25,4152.57,0.005093,-0.51,
2026-05-29,看多7/看空15·表态22人（方向占比68%）,-1,中,+5交易日,上证指数,4068.57,2026-06-05,4027.74,-0.010035,1.0,
2026-06-02,看多6/看空15·表态21人（方向占比71%）,-1,中,+5交易日,上证指数,4075.1,2026-06-09,4010.03,-0.015968,1.6,
2026-06-16,看多10/看空4·表态14人（方向占比71%）,1,中,+5交易日,上证指数,4091.89,2026-06-24,4110.81,0.004624,0.46,
2026-06-22,看多11/看空5·表态16人（方向占比69%）,1,中,+5交易日,上证指数,4163.1,2026-06-29,4073.9,-0.021426,-2.14,
2026-07-08,看多5/看空12·表态17人（方向占比71%）,-1,中,+5交易日,上证指数,3970.88,2026-07-15,3955.58,-0.003853,0.39,
2026-07-13,看多7/看空15·表态22人（方向占比68%）,-1,中,+5交易日,上证指数,3913.79,2026-07-20,3796.28,-0.030025,3.0,
2026-07-14,看多5/看空17·表态22人（方向占比77%）,-1,中,+5交易日,上证指数,3967.13,2026-07-21,3864.37,-0.025903,2.59,
2026-07-29,看多16/看空5·表态21人（方向占比76%）,1,中,+5交易日,上证指数,3828.47,2026-08-05,3878.43,0.01305,1.3,
2026-07-30,看多15/看空6·表态21人（方向占比71%）,1,中,+5交易日,上证指数,3804.69,2026-08-06,3900.35,0.025143,2.51,
2026-07-31,看多17/看空5·表态22人（方向占比77%）,1,中,+5交易日,上证指数,3832.26,2026-08-07,3940.04,0.028124,2.81,
2026-08-03,看多21/看空3·表态24人（方向占比88%）,1,强,+5交易日,上证指数,3809.66,2026-08-10,3966.59,0.041193,4.12,
2026-08-04,看多18/看空6·表态24人（方向占比75%）,1,中,+5交易日,上证指数,3822.28,2026-08-11,3934.09,0.029252,2.93,
2026-08-05,看多18/看空7·表态25人（方向占比72%）,1,中,+5交易日,上证指数,3878.43,2026-08-12,3946.68,0.017597,1.76,
2026-08-06,看多20/看空4·表态24人（方向占比83%）,1,强,+5交易日,上证指数,3900.35,2026-08-13,3926.96,0.006822,0.68,
2026-08-07,看多18/看空6·表态24人（方向占比75%）,1,中,+5交易日,上证指数,3940.04,2026-08-14,3927.18,-0.003264,-0.33,
